ENSG00000187608|ISG15
ENSG00000142798|HSPG2
ENSG00000070831|CDC42
ENSG00000117632|STMN1
ENSG00000253368|TRNP1
ENSG00000090020|SLC9A1
ENSG00000130766|SESN2
ENSG00000175130|MARCKSL1
ENSG00000162522|KIAA1522
ENSG00000160094|ZNF362
ENSG00000127603|MACF1
ENSG00000157216|SSBP3
ENSG00000177606|JUN
ENSG00000142871|CCN1
ENSG00000162692|VCAM1
ENSG00000085491|SLC25A24
ENSG00000168765|GSTM4
ENSG00000134250|NOTCH2
ENSG00000288825|H2AC18
ENSG00000160789|LMNA
ENSG00000117143|UAP1
ENSG00000073756|PTGS2
ENSG00000198625|MDM4
ENSG00000196352|CD55
ENSG00000082482|KCNK2
ENSG00000092969|TGFB2
ENSG00000162909|CAPN2
ENSG00000196187|TMEM63A
ENSG00000163050|COQ8A
ENSG00000143632|ACTA1
ENSG00000134318|ROCK2
ENSG00000163029|SMC6
ENSG00000143878|RHOB
ENSG00000115129|TP53I3
ENSG00000197329|PELI1
ENSG00000138071|ACTR2
ENSG00000163017|ACTG2
ENSG00000115318|LOXL3
ENSG00000071054|MAP4K4
ENSG00000115091|ACTR3
ENSG00000152082|MZT2B
ENSG00000115963|RND3
ENSG00000080345|RIF1
ENSG00000091409|ITGA6
ENSG00000116044|NFE2L2
ENSG00000155657|TTN
ENSG00000138448|ITGAV
ENSG00000118257|NRP2
ENSG00000115414|FN1
ENSG00000163466|ARPC2
ENSG00000175084|DES
ENSG00000135932|CAB39
ENSG00000135916|ITM2C
ENSG00000168036|CTNNB1
ENSG00000164050|PLXNB1
ENSG00000067560|RHOA
ENSG00000136068|FLNB
ENSG00000144802|NFKBIZ
ENSG00000114554|PLXNA1
ENSG00000184897|H1-10
ENSG00000004399|PLXND1
ENSG00000177311|ZBTB38
ENSG00000144935|TRPC1
ENSG00000018408|WWTR1
ENSG00000163661|PTX3
ENSG00000113810|SMC4
ENSG00000144959|NCEH1
ENSG00000121879|PIK3CA
ENSG00000114315|HES1
ENSG00000061938|TNK2
ENSG00000138764|CCNG2
ENSG00000118785|SPP1
ENSG00000118762|PKD2
ENSG00000109320|NFKB1
ENSG00000138685|FGF2
ENSG00000164134|NAA15
ENSG00000164327|RICTOR
ENSG00000164171|ITGA2
ENSG00000134352|IL6ST
ENSG00000173221|GLRX
ENSG00000120708|TGFBI
ENSG00000120738|EGR1
ENSG00000044115|CTNNA1
ENSG00000131504|DIAPH1
ENSG00000120129|DUSP1
ENSG00000196923|PDLIM7
ENSG00000078401|EDN1
ENSG00000158373|H2BC5
ENSG00000137331|IER3
ENSG00000204525|HLA-C
ENSG00000234745|HLA-B
ENSG00000137309|HMGA1
ENSG00000007866|TEAD3
ENSG00000096060|FKBP5
ENSG00000112062|MAPK14
ENSG00000112658|SRF
ENSG00000112715|VEGFA
ENSG00000137216|TMEM63B
ENSG00000124813|RUNX2
ENSG00000112742|TTK
ENSG00000135596|MICAL1
ENSG00000152661|GJA1
ENSG00000111912|NCOA7
ENSG00000118523|CCN2
ENSG00000118515|SGK1
ENSG00000164442|CITED2
ENSG00000130340|SNX9
ENSG00000136295|TTYH3
ENSG00000242802|AP5Z1
ENSG00000075624|ACTB
ENSG00000075618|FSCN1
ENSG00000136238|RAC1
ENSG00000122691|TWIST1
ENSG00000164649|CDCA7L
ENSG00000050344|NFE2L3
ENSG00000146648|EGFR
ENSG00000196247|ZNF107
ENSG00000189077|TMEM120A
ENSG00000106211|HSPB1
ENSG00000164692|COL1A2
ENSG00000106330|MOSPD3
ENSG00000105835|NAMPT
ENSG00000105974|CAV1
ENSG00000105976|MET
ENSG00000128591|FLNC
ENSG00000159840|ZYX
ENSG00000171130|ATP6V0E2
ENSG00000164867|NOS3
ENSG00000213199|ASIC3
ENSG00000082014|SMARCD3
ENSG00000168487|BMP1
ENSG00000134013|LOXL2
ENSG00000092964|DPYSL2
ENSG00000120885|CLU
ENSG00000077782|FGFR1
ENSG00000168615|ADAM9
ENSG00000104321|TRPA1
ENSG00000121039|RDH10
ENSG00000169398|PTK2
ENSG00000105339|DENND3
ENSG00000130193|THEM6
ENSG00000147813|NAPRT
ENSG00000185189|NRBP2
ENSG00000178209|PLEC
ENSG00000178719|GRINA
ENSG00000167702|KIFC2
ENSG00000198467|TPM2
ENSG00000137076|TLN1
ENSG00000165304|MELK
ENSG00000106799|TGFBR1
ENSG00000136826|KLF4
ENSG00000041982|TNC
ENSG00000119333|DYNC2I2
ENSG00000186350|RXRA
ENSG00000148400|NOTCH1
ENSG00000173848|NET1
ENSG00000026025|VIM
ENSG00000095739|BAMBI
ENSG00000150093|ITGB1
ENSG00000107984|DKK1
ENSG00000170312|CDK1
ENSG00000171988|JMJD1C
ENSG00000148634|HERC4
ENSG00000172731|LRRC20
ENSG00000166228|PCBD1
ENSG00000035403|VCL
ENSG00000107796|ACTA2
ENSG00000119950|MXI1
ENSG00000138162|TACC2
ENSG00000142089|IFITM3
ENSG00000177666|PNPLA2
ENSG00000181649|PHLDA2
ENSG00000166333|ILK
ENSG00000187079|TEAD1
ENSG00000070081|NUCB2
ENSG00000205213|LGR4
ENSG00000049449|RCN1
ENSG00000026508|CD44
ENSG00000149743|TRPT1
ENSG00000182450|KCNK4
ENSG00000251562|MALAT1
ENSG00000173039|RELA
ENSG00000172757|CFL1
ENSG00000162337|LRP5
ENSG00000110218|PANX1
ENSG00000137672|TRPC6
ENSG00000137693|YAP1
ENSG00000149311|ATM
ENSG00000149591|TAGLN
ENSG00000184232|OAF
ENSG00000111206|FOXM1
ENSG00000197905|TEAD4
ENSG00000111319|SCNN1A
ENSG00000111674|ENO2
ENSG00000139219|COL2A1
ENSG00000172819|RARG
ENSG00000161638|ITGA5
ENSG00000139324|TMTC3
ENSG00000136048|DRAM1
ENSG00000111199|TRPV4
ENSG00000111229|ARPC3
ENSG00000089159|PXN
ENSG00000276045|ORAI1
ENSG00000177169|ULK1
ENSG00000136153|LMO7
ENSG00000125266|EFNB2
ENSG00000157227|MMP14
ENSG00000100889|PCK2
ENSG00000165410|CFL2
ENSG00000100644|HIF1A
ENSG00000054654|SYNE2
ENSG00000072110|ACTN1
ENSG00000170345|FOS
ENSG00000119699|TGFB3
ENSG00000247092|SNHG10
ENSG00000166165|CKB
ENSG00000142208|AKT1
ENSG00000185347|TEDC1
ENSG00000104067|TJP1
ENSG00000159251|ACTC1
ENSG00000166710|B2M
ENSG00000092439|TRPM7
ENSG00000047346|FAM214A
ENSG00000171914|TLN2
ENSG00000140416|TPM1
ENSG00000166949|SMAD3
ENSG00000136425|CIB2
ENSG00000157766|ACAN
ENSG00000185551|NR2F2
ENSG00000140443|IGF1R
ENSG00000242612|DECR2
ENSG00000065054|SLC9A3R2
ENSG00000008710|PKD1
ENSG00000185883|ATP6V0C
ENSG00000162076|FLYWCH2
ENSG00000162073|PAQR4
ENSG00000103145|HCFC1R1
ENSG00000186260|MRTFB
ENSG00000233024|NPIPA9
ENSG00000079616|KIF22
ENSG00000103495|MAZ
ENSG00000013364|MVP
ENSG00000149932|TMEM219
ENSG00000102882|MAPK3
ENSG00000099385|BCL7C
ENSG00000171241|SHCBP1
ENSG00000224578|HNRNPA1L3
ENSG00000177200|CHD9
ENSG00000087245|MMP2
ENSG00000125148|MT2A
ENSG00000125170|DOK4
ENSG00000103005|USB1
ENSG00000179776|CDH5
ENSG00000039068|CDH1
ENSG00000050820|BCAR1
ENSG00000103187|COTL1
ENSG00000103257|SLC7A5
ENSG00000103335|PIEZO1
ENSG00000167513|CDT1
ENSG00000258947|TUBB3
ENSG00000196689|TRPV1
ENSG00000129219|PLD2
ENSG00000133026|MYH10
ENSG00000108691|CCL2
ENSG00000168610|STAT3
ENSG00000177469|CAVIN1
ENSG00000108840|HDAC5
ENSG00000161714|PLCD3
ENSG00000259207|ITGB3
ENSG00000108821|COL1A1
ENSG00000141232|TOB1
ENSG00000008283|CYB561
ENSG00000261371|PECAM1
ENSG00000125398|SOX9
ENSG00000109062|SLC9A3R1
ENSG00000167900|TK1
ENSG00000035862|TIMP2
ENSG00000184009|ACTG1
ENSG00000225663|MCRIP1
ENSG00000154864|PIEZO2
ENSG00000067900|ROCK1
ENSG00000170558|CDH2
ENSG00000046604|DSG2
ENSG00000175387|SMAD2
ENSG00000070404|FSTL3
ENSG00000064666|CNN2
ENSG00000130005|GAMT
ENSG00000005206|SPPL2B
ENSG00000104964|TLE5
ENSG00000064961|HMG20B
ENSG00000186111|PIP5K1C
ENSG00000090339|ICAM1
ENSG00000105520|PLPPR2
ENSG00000171223|JUNB
ENSG00000074181|NOTCH3
ENSG00000127528|KLF2
ENSG00000130522|JUND
ENSG00000130513|GDF15
ENSG00000130511|SSBP4
ENSG00000105655|ISYNA1
ENSG00000105738|SIPA1L3
ENSG00000105329|TGFB1
ENSG00000077348|EXOSC5
ENSG00000011422|PLAUR
ENSG00000073008|PVR
ENSG00000007255|TRAPPC6A
ENSG00000130748|TMEM160
ENSG00000024422|EHD2
ENSG00000142227|EMP3
ENSG00000087086|FTL
ENSG00000130529|TRPM4
ENSG00000074219|TEAD2
ENSG00000167685|ZNF444
ENSG00000088826|SMOX
ENSG00000101384|JAG1
ENSG00000125968|ID1
ENSG00000197122|SRC
ENSG00000132819|RBM38
ENSG00000125534|PPDPF
ENSG00000125520|SLC2A4RG
ENSG00000154734|ADAMTS1
ENSG00000198862|LTN1
ENSG00000198743|SLC5A3
ENSG00000160226|CFAP410
ENSG00000142156|COL6A1
ENSG00000100030|MAPK1
ENSG00000186575|NF2
ENSG00000100292|HMOX1
ENSG00000100345|MYH9
ENSG00000100097|LGALS1
ENSG00000100151|PICK1
ENSG00000185022|MAFF
ENSG00000100242|SUN2
ENSG00000196588|MRTFA
ENSG00000196576|PLXNB2
ENSG00000147010|SH3KBP1
ENSG00000102265|TIMP1
ENSG00000015285|WAS
ENSG00000102024|PLS3
ENSG00000102081|FMR1
ENSG00000196924|FLNA
ENSG00000102119|EMD
ENSG00000130827|PLXNA3
ENSG00000164920|OSR2
